,0,1
Category:Episodes written by George R.R. Martin,[],[]
Master of Ships,[],[]
Rupert Vansittart,[],[]
File:Jon and Dany TQJ.jpg,[],[]
Stormcrows,[],['House Baratheon of Dragonstone']
Lord Reaper of Pyke,[],[]
The House of Black and White,[],[]
File:Tormund capture.jpg,[],[]
File:Theon fights s7 finale.jpg,[],[]
File:605 North Political map.png,[],[]
wikipedia:Andrei Tarkovsky,[],[]
Lhazareen,[],[]
Andy Merchant,[],[]
pt-br: Cumpridora de Promessas (espada),[],[]
ro:Dansul Dragonilor,[],[]
zh:TV:第四季第六集,[],[]
"Dark Wings, Dark Words",[],[]
File:Knights of the Vale S6E09 7.PNG,[],[]
zh:TV:第六季第四集,[],[]
ru:Верный Клятве (меч),[],[]
Ser Pounce,[],['Tommen Baratheon']
Koner,[],['House Stark']
Alanna,[],[]
Wilko Johnson,[],[]
Nathanael Saleh,[],[]
File:Sansa Ramsay Kill the Boy.jpg,[],[]
File:Varys_lil_birds_spies.jpg,[],[]
Noel Harron,[],[]
File:Olly-stabbing-jon.png,[],[]
Maggie Hayes,[],[]
#Appearances,[],[]
es:La Montaña y la Víbora,[],[]
Wyllis Bracken,['House Bracken'],[]
Tyrone Kearns,[],[]
Lord of Runestone,[],[]
Gerald McMullan,[],[]
David Grant,[],[]
George Georgiou,[],[]
second siege of Meereen,[],[]
Darius Dar Khan,[],[]
File:Home 15.jpg,[],[]
Category:Episodes directed by David Nutter,[],[]
Siege of Storm's End,[],[]
Michael Patrick,[],[]
Marcus White,[],[]
Aggo (The North Remembers),[],"['Drogo', 'House Targaryen']"
Starfall,[],[]
Preston Greenfield,['House Greenfield'],['Kingsguard']
Laura Elphinstone,[],[]
File:Jon Beyond the Wall S8 Ep6.jpg,[],[]
Chris Newton,[],[]
Michael Homick,[],[]
Tristan Mercieca,[],[]
Pixie Le Knot,[],[]
de:Die Winde des Winters (Episode),[],[]
Lou Wong,[],[]
Breaching of the Wall,[],[]
Jeor Mormont,['House Mormont'],"['House Stark', ""Night's Watch""]"
Science and technology,[],[]
File:Qhono Dragonpit.jpg,[],[]
File:Howland Reed ToJ.png,[],[]
Sahara Knite,[],[]
House Targaryen,[],[]
Bowen Marsh,['House Marsh'],"[""Night's Watch""]"
pt-br:Valar Dohaeris,[],[]
Rob Hayns,[],[]
King's Landing baker,[],[]
Deon Lee-Williams,[],[]
House Hoare,[],[]
Kinslaying,[],[]
Image:Robb 1x02.jpg,[],[]
Roseroad,[],[]
"es:Nunca doblegado, nunca roto",[],[]
wikipedia:iPhone,[],[]
fr:Au-delà du Mur,[],[]
Game of Thrones pilot,[],[]
Gabrielle Dempsey,[],[]
Mutiny at Castle Black,[],[]
pt-br:Nascida da Tormenta,[],[]
"de:Krüppel, Bastarde und Zerbrochenes (Episode)",[],[]
First Ranger,[],[]
it:Le Serpi delle Sabbie,[],[]
battle for the Wall,[],[]
wight,[],[]
Warrior women,[],[]
Tears of Lys,[],[]
Phil Lonergan,[],[]
File:Dany_climbs_on_drogon.jpg,[],[]
file:Cersei & Joffrey 1x07.jpg,[],[]
Hand of the King,[],[]
Simpson,[],['House Bolton']
Martyn Lannister,['House Lannister'],[]
Execution of Rickard and Brandon Stark,[],[]
Greyscale,[],[]
Seamus Kelly,[],[]
Son of the Harpy,[],"['Great Masters', 'Sons of the Harpy']"
Brotherhood Without Banners,[],[]
pt-br:Misericórdia da Mãe,[],[]
Temple of the Graces,[],[]
Frozen Shore,[],[]
Pedro Pascal,[],[]
Kevin Morgan,[],[]
Orsányi Iván,[],[]
Qarth,[],[]
ro:The Spoils of War,[],[]
Jack Bender,[],[]
Robin Earle,[],[]
Old woman,[],"['House Bolton', 'House Stark']"
Melessa Tarly,"['House Florent', 'House Tarly']",[]
File:Game-of-thrones-the-magnificent-seven-jon-snow-tormund-davos-gendry-the-hound-thoros-jorah-baric-eastwatch.jpg,[],[]
Al Holland,[],[]
File:SansaWatchesTourneySeason2.jpg,[],[]
Davor Jozinović,[],[]
Rakharo,[],"['Drogo', 'House Targaryen']"
File:S03E10 - Bran.png,[],[]
Timothy Gibbons,[],[]
Seven Kingdoms,[],[]
Meera Reed,['House Reed'],['House Stark']
Hornfoots,[],[]
War of the Five Kings,[],[]
ro:Lordul Snow,[],[]
Rhoynar,[],[]
The Laws of Gods and Men,[],[]
Zalla,[],[]
Dave Hill,[],[]
Hodor,[],['House Stark']
File:The Broken Man 03.jpg,[],[]
wikipedia:Creative Arts Emmy Award,[],[]
Game of Thrones musical themes and motifs#House Lannister theme,[],[]
Stuart Clark,[],[]
Blackwater Rush,[],[]
file:Ellaria-and-Tyene.jpg,[],[]
file:Godtree S8 EP2.jpg,[],[]
pt-br:Mate o Menino,[],[]
File:VARYSDEATH805.png,[],[]
Category:Astapor,[],[]
Daniel Tuite,[],[]
zh:赠地,[],[]
pt-br:Casa,[],[]
The National,[],[]
zh:TV:第四季第十集,[],[]
Category:Episodes written by Dave Hill,[],[]
File:Knights of the Vale S6E09 3.PNG,[],[]
Wyl (guard),[],['House Stark']
File:Home 07.jpg,[],[]
File:Sansa Confession.jpg,[],[]
Will O'Connell,[],[]
Munkun,[],"['Order of Maesters', 'House Targaryen']"
The Old Gods and the New (short),[],[]
Mors Martell,['House Martell'],[]
Faith Militant uprising,[],[]
David Collom,[],[]
Robbie Beggs,[],[]
fighting pit,[],[]
it:E ora la sua guardia si è conclusa,[],[]
File:Arya_No_One_fleeing.jpg,[],[]
Peter Guiney,[],[]
Curtis Rivers,[],[]
de:Jenseits der Mauer,[],[]
"Unbowed, Unbent, Unbroken",[],[]
Category:Episodes of Game of Thrones: Season 4,[],[]
Heraldry,[],[]
Illyrio Mopatis,[],['House Targaryen']
The Pointy End,[],[]
Mole's Town madam,[],[]
Jhaqo,[],['Drogo']
"Wikipedia:The Lion, the Witch and the Wardrobe",[],[]
es:Rompedora de cadenas,[],[]
House Stark,[],[]
Destruction of the Great Sept of Baelor,[],[]
beyond the Wall,[],[]
fool,[],[]
Richard Hansen,[],[]
Lands of Always Winter,[],[]
Water dance,[],[]
House Karstark,[],[]
Alex Graves,[],[]
slaver,[],[]
Mark Coney,[],[]
File:Theon and Dagmer 205.jpg,[],[]
ja:シーズン5第10話「慈母の慈悲」,[],[]
Timett,[],['Burned Men']
Game of Thrones musical themes and motifs#Royal theme,[],[]
B.J. Hogg,[],[]
Paul Caddell,[],[]
Image:Syrio's last stand.jpg,[],[]
Painted Table,[],[]
file:The Winds of Winter 20.jpg,[],[]
Rob Cooper,[],[]
Balázs Farkas,[],[]
ru:Убей мальчишку,[],[]
Battle of the Goldroad,[],[]
Baelor I Targaryen,['House Targaryen'],['Faith of the Seven']
File:The gods demand justice.png,[],[]
File:Blood of My Blood 17.jpg,[],[]
Age of Heroes,[],[]
fr:Deux Épées,[],[]
dying man,[],[]
Game of Thrones: Season 1,[],[]
Sarra,[],['House Stark']
fr:La Miséricorde de la mère,[],[]
Laura Swift,[],[]
Balerion (ship),[],[]
Jake Cox,[],[]
Nymeria,['House Martell'],[]
Category:Dragonstone,[],[]
wikipedia:colonialism,[],[]
Tommy,[],['House Stark']
ru:Сыны Гарпии (организация),[],[]
Razvan Gheorghiu,[],[]
"fr:Infirmes, Bâtards et Choses brisées",[],[]
Image:Kingsroad1.jpg,[],[]
File:Yara in the dreadfort.jpg,[],[]
Patrick Molloy,[],[]
Spice King,[],['Thirteen']
Tim McInnerny,[],[]
Fall of Last Hearth,[],[]
Karsi,[],"['Ice-river clans', 'Mance Rayder', 'White Walkers']"
Xaro Xhoan Daxos,[],['Thirteen']
Tournament#Tourney of the Hand,[],[]
Derek Lea,[],[]
James Cox,[],[]
Thomas Finnegan,[],[]
Magnar,[],[]
The Seven-Pointed Star,[],[]
pt-br:As Terras da Noite,[],[]
Greenseer,[],[]
Roy Taylor,[],[]
Massacre in King's Landing,[],[]
Jonathan Gunning,[],[]
de:Ostwacht (Episode),[],[]
Jonos Bracken,['House Bracken'],['House Tully']
Shadow,[],[]
Dothraki Sea,[],[]
warden,[],[]
First Sword of Braavos,[],[]
Palla,[],['House Stark']
pl:Człowiek bez honoru,[],[]
braavos,[],[]
nl:Winterfel,[],[]
Red Comet,[],[]
Quent,[],['House Stark']
it:L'inverno sta arrivando,[],[]
Zdravko Jurkin,[],[]
Faolan Morgan,[],[]
Stark guard (The Old Gods and the New),[],['House Stark']
ro:Bătălia,[],[]
Gold Cloak 1 (Eastwatch),[],"[""City Watch of King's Landing""]"
Tim Davies,[],[]
Robert Fawsitt,[],[]
Ian McElhinney,[],[]
The Lives of Four Kings,[],[]
Smoking Sea,[],[]
Darragh O'Connor,[],[]
es:El hombre destrozado,[],[]
Cordelia Hill,[],[]
de:Ein Ritter der Sieben Königslande (Episode),[],[]
Rory Mulroe,[],[]
Jojen Reed,['House Reed'],['House Stark']
Category:Episodes of Game of Thrones: Season 2,[],[]
James O'Donnell,[],[]
File:Stark party 1x03.png,[],[]
ja:シーズン4第3話「奴隷解放者」,[],[]
Kevin-Barry Brown,[],[]
File:Cersei_No_One.jpg,[],[]
File:Lyanna Mormont's letter.png,[],[]
File:The Viper vs the Mountain3.jpg,[],[]
Sandhu,[],['Order of Maesters']
File:Robb prepares to execute Rickard s3e5.jpg,[],[]
Xena Avramidis,[],[]
Marko Cindric,[],[]
Paul Portelli,[],[]
"de:Dunkle Schwingen, Dunkle Worte (Episode)",[],[]
fall of Astapor,[],[]
Mia Soteriou,[],[]
Drowned God,[],[]
File:Bronn poisoned.png,[],[]
File:Jaqen_H'ghar_2x8_1.png,[],[]
Tom Cox,[],[]
Erol Mehmet,[],[]
Rhaenys Targaryen (daughter of Rhaegar),['House Targaryen'],[]
Thin man,[],[]
Gift,[],[]
Burning of Harrenhal,[],[]
R'hllor,[],[]
Milen Kaleichev,[],[]
Lena Headey,[],[]
Roose Bolton's son,['House Bolton'],[]
Wikipedia:Iphigenia,[],[]
File:Blood_of_my_blood_House_Tarly_dinner.jpg,[],[]
Wikipedia:Marcus Licinius Crassus,[],[]
Arnar Rósenkranz Hilmarsson,[],[]
File:Roose and Robb death comparison.png,[],[]
File:STARKENTOURAGEBE;;S.jpeg,[],[]
House Greyjoy,[],[]
Rosabell Laurenti Sellers,[],[]
Lowell,[],['House Lannister']
Emma Bryant,[],[]
Game of Thrones: Season 8,[],[]
Mackenzie Dean,[],[]
Lollys Stokeworth,['House Stokeworth'],[]
Aimee Richardson,[],[]
Reg Wayment,[],[]
Image:Eddard's letter.jpg,[],[]
File:Davos_Melisandre_assassination_S3_E1.jpg,[],[]
Burn Gorman,[],[]
Anthony Morris,[],[]
uk:Вітри зими,[],[]
File:Daenerys 1x08.jpg,[],[]
File:Bronn 2x09.png,[],[]
Old Gods of Valyria,[],[]
squire,[],[]
Sam#In the books,[],[]
Eldrick Sarsfield,['House Sarsfield'],[]
The Book of Brothers,[],[]
Eastwatch,[],[]
Timeline#Differences from the books,[],[]
File:Shae Sansa and Tyrion Mhysa.png,[],[]
A Knight of the Seven Kingdoms,[],[]
Lucian Msamati,[],[]
fr:Ce qui est mort ne saurait mourir,[],[]
Donna Williams,[],[]
Jade Lye,[],[]
Second of His Name,[],[]
pt-br:Fogo e Sangue,[],[]
Shaun Blaney,[],[]
Faith Militant ,[],[]
Pyke (island),[],[]
The Dance of Dragons,[],[]
Mountains of the Moon,[],[]
Lannisport,[],[]
Mackenzie Crook,[],[]
Izembaro,[],[]
ru:Призрак Харренхола,[],[]
Neil Finnighan,[],[]
File:Talla.JPG,[],[]
Karhold,[],[]
Category:Episodes directed by Alex Graves,[],[]
de:Die Letzten Starks (Episode),[],[]
Edward Tudor-Pole,[],[]
Rhodri Hosking,[],[]
Maidenpool,[],[]
lt:Oathbreaker,[],[]
wikipedia:Sack of Troy,[],[]
Rossart,[],"[""Alchemists' Guild"", 'House Targaryen']"
Renly Baratheon,['House Baratheon'],"[""House Baratheon of King's Landing"", 'Small Council']"
Edward Dogliani,[],[]
Rook's Rest,[],[]
Kissed by Fire,[],[]
White Walkers,[],[]
Oleg Podobin,[],[]
Vince Gerardis,[],[]
Ivana Krile,[],[]
Smallfolk,[],[]
File:Jaime recounts the past s3e5.jpg,[],[]
Haggo,[],['Drogo']
Radoslav Ignatov,[],[]
File:What's in the box Varys? What's in the box?!.jpg,[],[]
pl:Złamany,[],[]
David Garrick,[],[]
Oathkeeper,[],[]
Conleth Hill,[],[]
Hannah John-Kamen,[],[]
File:Jon and Ygritte s3e5.jpg,[],[]
Ralf Kenning,['House Kenning'],[]
Pixomondo,[],[]
Black Wind,[],[]
Highgarden,[],[]
zh:TV:第四季第八集,[],[]
ru:Колокола,[],[]
File:Game-of-thrones-season-6-sparrow.jpeg,[],[]
Pono,[],['Drogo']
pt-br:A Knight of the Seven Kingdoms,[],[]
Category:Episodes released in 2016,[],[]
File:Daenerys.png,[],[]
"pl:Mroczne Skrzydła, Mroczne Słowa",[],[]
Smalljon Umber,['House Umber'],['House Bolton']
Dragonpit,[],[]
File:The_Riverlands.png,[],[]
File:WhiteWalker_(Hardhome).jpg,[],[]
Nikita Mitchell,[],[]
Nora,[],[]
pl:Wyzwoliciel z łańcuchów,[],[]
Meraxes,[],['Rhaenys Targaryen (sister of Aegon I)']
An History of the Great Sieges of Westeros,[],[]
Game of Thrones: Season 3,[],[]
File:Drogon_flying_S3E4.jpg,[],[]
pt-br:Os Espólios da Guerra,[],[]
Beyond the Wall (episode),[],[]
Baratheon soldier (Mother's Mercy),[],['House Baratheon of Dragonstone']
The Children,[],[]
Trixiebelle Harrowell,[],[]
File:The Broken Man 01.jpg,[],[]
it:Giuramento (spada),[],[]
Finn Jones,[],[]
es:El león y la rosa,[],[]
The Lineages and Histories of the Great Houses of the Seven Kingdoms,[],[]
Matthew Stirling,[],[]
Wildfire plot#Legacy,[],[]
ja:シーズン3第5話「炎の口づけ」,[],[]
Hoster Tully,['House Tully'],"['House Targaryen', ""House Baratheon of King's Landing"", 'House Stark']"
Kinga Gavalda,[],[]
ru:Черноводная,[],[]
Stark guard (Fire and Blood),[],['House Stark']
Haunted Forest,[],[]
Mander,[],[]
wikipedia:Troy (film),[],[]
Esmé Bianco,[],[]
Varly,[],['House Stark']
Jonny James,[],[]
ro:Eliberatoarea,[],[]
File:Kill the masters yet again.png,[],[]
The Bloody Hand,[],[]
Harpy,[],[]
File:Beric vs. Clegane s3e5.jpg,[],[]
Bay of Ice,[],[]
House Caron,[],[]
de:Feuer und Blut (Episode),[],[]
Fist of the First Men,[],[]
fr:Voici que son tour de garde est fini,[],[]
Boian Anev,[],[]
ru:Дожди в Кастамере (песня),[],[]
Ellaria Sand#In the books,[],[]
Category:Episodes directed by Michelle MacLaren,[],[]
Sigur Rós,[],[]
wikipedia:Jaws (film),[],[]
Luke Barnes,[],[]
Michael Hooley,[],[]
Gyula Tóth,[],[]
File:Oathbreaker 18.jpg,[],[]
battle at the cave of the Three-Eyed Raven,[],[]
Cassandra Ebner,[],[]
Lysa Arryn,"['House Tully', 'House Arryn', 'House Baelish']",[]
dragonglass,[],[]
File:Riverlands_executions.jpg,[],[]
Steward,[],[]
The Watchers on the Wall,[],[]
Rorge#In the books,[],[]
Triarch,[],[]
Brian Nickels,[],[]
water dance,[],[]
File:RobbtalkstoJaimeSeason2.jpg,[],[]
Gary Lightbody,[],[]
Sissy,[],[]
Jessica Henwick,[],[]
Alan Paris,[],[]
"File:Sam, Edd and Jon 2x01.jpg",[],[]
Westerlands,[],[]
Jessica Stevenson,[],[]
House of Pahl,[],[]
Wikipedia:Mercy (game),[],[]
File:Theon Greyjoy returns.png,[],[]
fight at the Fist,[],[]
File:Beyond the Wall.png,[],[]
Omar Youssef,[],[]
wikipedia:County Down,[],[]
Dragonstone (island),[],[]
protestor,[],[]
Troy Kenchington,[],[]
Richard Madden,[],[]
File:Leaf.png,[],[]
Kesh,[],['Great Masters']
James Tolcher,[],[]
pl:Wilk i Lew,[],[]
Torrhen Stark,['House Stark'],['House Targaryen']
assassination of Daenerys Targaryen,[],[]
Paul Kennedy,[],[]
Fergus,[],['House Stark']
File:RenlysDeathS2Ep5.png,[],[]
Old Gods of the Forest,[],[]
Robert Baratheon's son,"[""House Baratheon of King's Landing""]",[]
"ro:Neplecat, Neînfrant, Nesfărâmat",[],[]
Kyra#In the books,[],[]
thin man,[],[]
Elaena Targaryen,['House Targaryen'],[]
House Tarly,[],[]
Lynesse Hightower (daughter of Leyton),"['House Hightower', 'House Mormont']",[]
File:Night King S8 Ep3.jpg,[],[]
Weirwood,[],[]
Night's Watch,[],[]
File:Eddard and Petyr 1x07.png,[],[]
ru:Бейлор,[],[]
Paul Kaye,[],[]
Melissa Reid,[],[]
Olly's mother,[],[]
Mark Slaughter,[],[]
File:GreyWormBOKL.png,[],[]
zh:TV:第一季第三集,[],[]
And Now His Watch Is Ended,[],[]
Brienne of Tarth,['House Tarth'],"['House Baratheon', 'Kingsguard', 'Renly Baratheon', 'Catelyn Stark', 'Sansa Stark', 'Bran Stark', 'Small Council']"
pl:Miłosierdzie Matki,[],[]
Billy,[],['House Stark']
fr:Les Anciens et les Nouveaux Dieux,[],[]
Caleotte,[],"['Order of Maesters', 'House Martell']"
ru:Дозорные на Стене,[],[]
Nick Chopping,[],[]
walk of atonement,[],[]
Randyll Tarly,['House Tarly'],"['House Tyrell', 'House Lannister']"
File:Young_hodor_seizing_hold_the_door.jpg,[],[]
noble house,[],[]
File:Aerys Rickard Brandon.png,[],[]
wikipedia:Assassination of Julius Caesar,[],[]
Braavos,[],[]
Belinda McGinley,[],[]
File:607_Greyjoys_in_Volantis_trailer.jpg,[],[]
it:Le due spade,[],[]
Alton Lannister,['House Lannister'],[]
Wikipedia:Close Encounters of the Third Kind,[],[]
Squire,[],[]
Ross Anderson-Doherty,[],[]
Eva Butterly,[],[]
Battle in the ice,[],[]
Sara Dylan,[],[]
Edward Upcott,[],[]
Brendan Cowell,[],[]
Dacio Caballero,[],[]
Hall of Faces,[],[]
Dwarf 3,[],[]
File:Departing Hardhome by ship.jpg,[],[]
lt:Home,[],[]
Jefferson Hall,[],[]
Gary Kane,[],[]
Pennytree,[],[]
File:Alton's body.jpg,[],[]
Margaret Jackman,[],[]
Lewis Young,[],[]
Nymeria's son,['House Dayne'],[]
ward,[],[]
Alexander Siddig,[],[]
pt-br:O Homem Quebrado,[],[]
Kae Alexander,[],[]
Category:War of the Five Kings,[],[]
James Bomalick,[],[]
The Spoils of War,[],[]
Gary Arthurs,[],[]
House Jordayne,[],[]
Brenock O'Connor,[],[]
File:Sansa and Cersei.jpg,[],[]
Conan Stevens,[],[]
Wikipedia:Aslan,[],[]
White Tree,[],[]
File:S04E09 - Jon (On the Wall).png,[],[]
Iron price,[],[]
File:Oberyn visits Tyrion - Mockingbird.jpg,[],[]
Dareon,[],"[""Night's Watch""]"
Tamlyn Clark,[],[]
Yara Greyjoy,['House Greyjoy'],['House Targaryen']
Locke#In the books,[],[]
Aaron Rodgers,[],[]
Jason Mallister,['House Mallister'],['House Tully']
wikipedia:The Lord of the Rings,[],[]
Silk King,[],['Thirteen']
File:Daenerys and dragon.jpg,[],[]
es:El portón,[],[]
Sally Mortemore,[],[]
Selyse Baratheon ,"['House Florent', 'House Baratheon of Dragonstone']",[]
Wikipedia:Shane's Castle,[],[]
What Is Dead May Never Die,[],[]
Daniel Minahan,[],[]
Billy King,[],[]
House Swann,[],[]
Maege Mormont,['House Mormont'],['House Stark']
ru:Валар Дохэйрис,[],[]
File:Bear and maiden fair promo brienne a.png,[],[]
Nicholas Daines,[],[]
gender and sexuality,[],[]
Sibel Kekilli,[],[]
Mark Kelvin Ryan,[],[]
Donald Sumpter,[],[]
de:Das spitze Ende (Episode),[],[]
Category:Resistance movements,[],[]
Freddie Mason,[],[]
Leo Woodruff,[],[]
ru:Младшие сыновья (организация),[],[]
Low Valyrian,[],[]
Jade Sea,[],[]
Brynjar Leifsson,[],[]
Lorenzo Casares,[],[]
Max von Sydow,[],[]
Owen Whitelaw,[],[]
ice spider,[],[]
Greatjon Umber,['House Umber'],['House Stark']
Charles Jarman,[],[]
Crannogmen,[],[]
Sam Callis,[],[]
Dean Weir,[],[]
File:Arya - Dark Wings Dark Words.png,[],[]
Brothel guard,[],[]
The Winds of Winter#Notes,[],[]
pt-br:O Lobo e o Leão,[],[]
Rodrik Stark,['House Stark'],[]
Chroyane#In the books,[],[]
Category:Harbors,[],[]
Ashara Dayne,['House Dayne'],[]
it:La Lunga Notte (episodio),[],[]
Eastwatch-by-the-Sea,[],[]
Tommen Baratheon,"[""House Baratheon of King's Landing""]",[]
Battle of Summerhall,[],[]
Jhiqui,[],['Drogo']
Image:Eddard and Jon.jpg,[],[]
battle in the ice,[],[]
fr:Puînés,[],[]
Elizabeth Webster,[],[]
File:Oathbreaker 22.jpg,[],[]
Assassination of Renly Baratheon,[],[]
Littlefinger's brothel,[],[]
Adam Brashaw,[],[]
Hizdahr zo Loraq's manservant,[],['House of Loraq']
Dorne (short),[],[]
Yousef Sweid,[],[]
Trident#The Green Fork,[],[]
File:607 Glover Preview.png,[],[]
tournament,[],[]
ro:Coroana de aur,[],[]
File:Bear and the maiden fair Brienne.jpg,[],[]
Kristina Baskett,[],[]
Mark Mylod,[],[]
Ian Davies,[],[]
File:210 Robb Talisa wedding 3.jpg,[],[]
de:Die Gerechtigkeit der Königin (Episode),[],[]
Direwolf,[],[]
Angelique Fernandez,[],[]
pl:Wichry zimy (odcinek),[],[]
ru:Трофеи войны,[],[]
Dragonseeds,[],[]
it:Il Trono di Spade (episodio),[],[]
fr:Winterfell,[],[]
Bearded Priests of Norvos,[],[]
file:Brienne_Jaime_Knigh_of_Seven_Kingdoms.jpg,[],[]
Irma Mali,[],[]
wikipedia:Fruit Ninja,[],[]
pt-br:Valar Morghulis,[],[]
Nell Tiger Free,[],[]
House Marbrand,[],[]
sparrows,[],[]
Jonathan Costelloe,[],[]
"pt-br:Aleijados, Bastardos e Coisas Quebradas",[],[]
Edmure Tully's son,['House Tully'],[]
fr:La Longue Nuit,[],[]
Gabriel Akuwudike,[],[]
Category:Sparrows,[],[]
Gwendoline Christie,[],[]
Graham Charles,[],[]
sack of Winterfell,[],[]
wikipedia:Trojan Horse,[],[]
Bert,[],['House Baratheon of Dragonstone']
File:505 Tyrion underwater behind the scenes.png,[],[]
Akos Lenkei,[],[]
Seagard,[],[]
Paola Dionisotti,[],[]
File:Roose and Ramsay confer.jpg,[],[]
ru:Дверь,[],[]
Stormborn,[],[]
file:Game-of-thrones-season-6-winds-of-winter-image-5.jpeg,[],[]
Chris Stapleton,[],[]
Dan Griffiths,[],[]
Alisdair Simpson,[],[]
File:The Riverlands.png,[],[]
Will Rastall,[],[]
Catspaw,[],[]
Defender of the Vale,[],[]
File:Arya-kills-Trant-S05E10.jpg,[],[]
Charlotte Williams,[],[]
ro:Darul (episod),[],[]
Coup in Dorne#In the books,[],[]
Michelle Fairley,[],[]
Essie Davis,[],[]
House Lannister,[],[]
Lady Crane,[],['Izembaro']
Lodos,[],[]
Aegon Targaryen (son of Elia Martell),['House Targaryen'],[]
Wikipedia:Seven seas,[],[]
"ro:Infirmi, bastarzi și lucruri stricate",[],[]
Grey Wind,[],['Robb Stark']
The Old Gods and the New,[],[]
High Valyrian,[],[]
es:El regalo,[],[]
White Rat,[],"['Unsullied', 'House Targaryen']"
Gemma Jackson,[],[]
James Embree,[],[]
Gary Wales,[],[]
File:Shireen_visits_Davos_Kissed_by_Fire.jpg,[],[]
it:Le leggi degli dei e degli uomini,[],[]
Thoros,[],"[""R'hllor"", ""House Baratheon of King's Landing"", 'Brotherhood Without Banners']"
Tommard Baratheon,['House Baratheon of Dragonstone'],[]
Othell Yarwyck,['House Yarwyck'],"[""Night's Watch""]"
Dyanna Dayne,"['House Dayne', 'House Targaryen']",[]
Massacre at Hardhome,[],[]
Endrew Tarth,['House Tarth'],"[""Night's Watch""]"
Belle Williams,[],[]
pt-br:As Leis dos Deuses e dos Homens,[],[]
Illyrio Mopatis#In the books,[],[]
Christine Korade Getos,[],[]
Mark Byatt,[],[]
File:Wildfire.png,[],[]
Black Cells,[],[]
Fighting pit announcer,[],['House Targaryen']
Game of Thrones: Season 6 (Music from the HBO Series),[],[]
James Cosmo,[],[]
pl:Zabij chłopca,[],[]
James Stewart,[],[]
ru:Лорд Сноу,[],[]
Anton Lesser,[],[]
Gregor Clegane ,['House Clegane'],"['House Lannister', 'Kingsguard']"
Paxter Redwyne,['House Redwyne'],"['House Tyrell', ""Bronn's house""]"
Mark Quigley,[],[]
File:Sam_helps_Jorah_Stormborn.jpg,[],[]
Joffrey Baratheon's crossbow,[],[]
Lord of the Last Hearth,[],[]
High Septon (Robert's Rebellion),[],['Faith of the Seven']
zh:S06E01,[],[]
Image:Jorah and Viserys.jpg,[],[]
File:Edmure Tully and Robb argue S3E6.jpg,[],[]
Raewyn Lippert,[],[]
Annabel Elizabeth Wood,[],[]
Wikipedia:Gilliflower,[],[]
Georgi Manchev,[],[]
File:Jaime faints in Brienne's arms s3e5.jpg,[],[]
File:Execution of petyr s7.jpg,[],[]
Dickon Tarly,['House Tarly'],[]
Josie Forman,[],[]
Master of Laws,[],[]
Areo Hotah,[],['House Martell']
Fight by Deepwood Motte,[],[]
Stepstones,[],[]
Eddison Tollett,['House Tollett'],"[""Night's Watch"", 'White Walkers']"
Natalie Dormer,[],[]
Olyvar#In the books,[],[]
Calvin Warrington-Heasman,[],[]
Derek Reid,[],[]
File:Bastard names by region.PNG,[],[]
House Bracken,[],[]
Bradley Farmer,[],[]
File:Grenn and Eddison - Breaker of Chains.jpg,[],[]
Gemita Samarra,[],[]
Wikipedia:The French Connection (film),[],[]
zh:TV:第六季第七集,[],[]
wikipedia:Stalker (film),[],[]
David Benioff,[],[]
Moro,[],[]
Zeljko Matovina,[],[]
Jonny McBride,[],[]
Prostitution,[],[]
The Long Night,[],[]
Derek,[],"[""Night's Watch""]"
Portia Victoria,[],[]
Category:Episodes directed by Jack Bender,[],[]
lt:Didysis Žvirblis,[],[]
khalasar,[],[]
Kyra,[],['House Bolton']
Michael Slovis,[],[]
Tobias Winter,[],[]
zh:TV:第六季第三集,[],[]
pt-br:Primeiro de Seu Nome,[],[]
Michael Stuart,[],[]
Lorath,[],[]
Leigh Gill,[],[]
smallfolk,[],[]
Katie Alexander-Thom,[],[]
River Gate,[],[]
Sasa Tomasevic,[],[]
wikipedia:Snow Patrol,[],[]
Sparrows,[],[]
Wikipedia:Richard III (play),[],[]
Carice van Houten,[],[]
Sandor Clegane,['House Clegane'],"[""House Baratheon of King's Landing"", 'Kingsguard', 'Faith of the Seven', 'Brotherhood Without Banners']"
Vanessa Taylor,[],[]
Asshai'i,[],[]
pt-br:E agora sua vigia terminou,[],[]
fr:Née du Typhon,[],[]
de:Die Zweitgeborenen,[],[]
Neil Marshall,[],[]
pl:Mhysa,[],[]
de:Das Buch des Fremden (Episode),[],[]
ru:Зима близко,[],[]
de:Niemand (Episode),[],[]
Andrew Burford,[],[]
Crownlands,[],[]
Rachel Puchkoff,[],[]
Category:Second Sons,[],[]
House Tallhart,[],[]
File:Daemon spear.png,[],[]
Oliver Gough,[],[]
Iron Throne,[],[]
Maria Sikavica,[],[]
needle,[],[]
Citadel maester,[],['Order of Maesters']
Azor Ahai,[],[]
Balerion,[],"['Aegon I Targaryen', 'Maegor Targaryen', 'Viserys I Targaryen']"
ru:Валар Моргулис,[],[]
Stephen Swift,[],[]
File:Cripples-Bastards-and-Broken-Things-sansa-stark-23083167-1280-720.jpg,[],[]
Bastard's girls,[],['Ramsay Bolton']
Battle of the Bastards (episode),[],[]
Ian Beattie,[],[]
ru:Рыцарь Семи Королевств,[],[]
wikipedia:The Wire,[],[]
File:Mammth.jpeg,[],[]
